CO_ANO_MES,QT_ESTAT,KG_LIQUIDO,VL_FOB
2017-01-01,14,456,25228
2017-02-01,10,1088,25784
2017-03-01,62,4750,148973
2017-04-01,37,2553,86534
2017-05-01,25,1487,54522
2017-06-01,174,1519,59308
2017-07-01,38,1984,81930
2017-08-01,23,1021,45902
2017-09-01,35,1474,66857
2017-10-01,17,1011,38135
2017-11-01,22,1444,54103
2017-12-01,30,1408,56154
2018-01-01,13,2325,54167
2018-02-01,17,947,32180
2018-03-01,38,1150,63626
2018-04-01,42,1196,67615
2018-05-01,94,3601,167607
2018-06-01,40,1228,70257
2018-07-01,92,4106,186573
2018-08-01,7,1536,39622
2018-09-01,12,1758,51308
2018-10-01,111,6925,259753
2018-11-01,44,1646,75574
2018-12-01,40,2427,93311
2019-01-01,57,3995,119611
2019-02-01,68,2727,133239
2019-03-01,47,3984,116722
2019-04-01,76,6718,193529
2019-05-01,43,1900,82070
2019-06-01,75,4415,155884
2019-07-01,77,5534,182719
2019-08-01,51,4836,156142
2019-09-01,49,2024,96006
2019-10-01,98,6109,234056
2019-11-01,65,3565,132626
2019-12-01,67,3898,146933
2020-01-01,44,3596,117491
2020-02-01,45,3953,115696
2020-03-01,66,3335,133298
2020-04-01,19,1803,56310
2020-05-01,15,306,18337
2020-06-01,80,2687,141259
2020-07-01,51,2775,103852
2020-08-01,68,4768,151682
2020-09-01,100,4068,191343
2020-10-01,64,4741,156195
2020-11-01,133,9426,326286
2020-12-01,67,4161,154607
2021-01-01,74,6637,211246
2021-02-01,76,9997,255927
2021-03-01,123,6968,276973
2021-04-01,83,4899,194509
2021-05-01,54,4028,123552
2021-06-01,73,8400,246169
2021-07-01,32,3005,90276
2021-08-01,37,2206,85223
2021-09-01,132,12991,409358
2021-10-01,143,9188,346115
2021-11-01,78,5007,191980
2021-12-01,49,7824,200255
2022-01-01,51,2065,84605
2022-02-01,39,8813,199246
2022-03-01,72,5924,173435
2022-04-01,59,3330,115905
2022-05-01,106,7965,269738
